comments,extremist
"৭১ এর চুলকানি শুরু হয়ে গেছে,,,",1
গনতান্ত্রিক রাষ্ট্রে পদত্যাগের দাবী জানানো কি অপরাধ ??,0
আওয়ামী লীগের কদিন পরে বউ ও থাকবে না ,1
কর্মি সবাই ধান কাটতেছে,1
কি বলবো মুখে ভাষা হারিয়ে ফেলেছি,0
কর্মী সংকটে এতো সকাল পড়েগেছেন নি ভাই দল ক্ষমতায় থেকেও,1
সবাই লাঠি নিয়ে থাকবেন,1
বি এম পির মতো অবস্হা আওয়ামীলিগেরও,1
রাস্তা বন্ধ থাকলেতো জনগণের কষ্ট হবে।।,0
নেতাদের গুতায় কর্মীরা পালাইছে,1
গত ১৪ বছর ধরে শুধু নেতাই তো বানিয়েছেন এখন নেতা ছাড়া কর্মী আশা করেন কেমনে,1
তদের চেতনা মানুষ আর খায় না।,1
জনগণ আর বসে থাকবে না কারন জনগন এখন সচেতন যে কোন ভাবে নিজের পছন্দ মত ভোট দিতে চাই,0
কর্মী সব নেতা হয়ে গেছে কাদের সাহেব জানে না,1
আল্লাহ বাংলাদেশের মানুষকে তুমি শান্তি দাও।,0
সবাই ভাল থাকেন দোয়া রহিল,0
"উরেএএএএএ নেতা,, কর্মী কই,আমি কই নাই, কাদের কাকায় কইছে",1
কর্মি দেখবেন ১০ ডিসেম্বর নয়াপল্টনে,0
"তেল তেল সব তেলেসমাতি,তেল না মারলে পদ থাকবে না",1
সকল ভাইদের জন্য দোয়া রইল,0
তেলবাজী নেতা সবাই,1
একেবারে একটি সত্য কথা ফুটিয়ে তুলেছেন অসংখ্য ধন্যবাদ আপনাকে।,0
মনে শান্তি পেলাম,0
নিজের দলের ছাত্র সংগঠনই নিয়ন্ত্রণ করতে পারে না!,0
"নিজের চামচাদের নিজেরাই সামাল দিতে পারছে না,,,এই হলো আওয়ামী লীগ",1
যোগ্যতা চেয়ে বেশি কিছু পেয়ে গেলে এই অবস্থায় হয়,0
অনেক দিন পর খুব বাস্তব মুখি কথা শুনলাম।,0
অভিনয় আর পাগলামি পাশাপাশি চললে যা হয় আর কি,1
নির্দলীয় সরকারের অধীনে নির্বাচনের ডাক দিন,0
বিনোদন পার্টি এখন পিকনিক পার্টিতে পরিনত হইছে।,1
"শিক্ষিত হলেই মানুষ হওয়া যায় না, মানুষ হতে মনুষত্বের প্রয়োজন।",0
দেশের ১৬ কোটি লোক পাগল বানী তে নিশীরাতের এম পি ও মন্ত্রী।,1
সে একজন ভুয়া মুক্তিযুদ্ধ দাবিদার,1
রাস্ট্র এ দেশের দুশমন রা কেমনে এ দেশের ভাল করবে ওরা বোমারু আগুন জালাবে,1
এখন আওয়ামী লীগ ভারতের পতাকা উড়িয়ে পোলাও বিরিয়ানি খাচ্ছে,1
এসব গাঁজাখোরদের কারা যে নেতা বানায়,1
আর যারা টিকিয়ে রাখার স্বপ্ন দেখছে তারা পাগল,1
নতুন পাগলের আমদানি,1
তুই নিজেই পাগল আর উন্মাদ।,1
তোর চৌদ্দ গুষ্ঠী উন্মাদ।,1
তোদের পুরো আওয়ামীলীগটাই হলো বিশ্বের সেরা পাগলা গারদ ।,1
"তোমারে দেখলেই পাথর মারতে মন চায়, শয়তানকে কেনা মারে",1
টাকলা কয় কি,1
"বুঝতেই পারছিনা আসলে কি বলবো,অসহায়",0
মানুষের জীবনের নিরাপত্তা সহ নিরাপদ ক্যাম্পাস চাই!,0
হাসিনা নিজেই একজন দেশদ্রোহী বিশ্বাসঘাতক রক্তপিপাসু খুনী,1
শেখ মুজিবের হত্যাকারী আওয়ামী পশু লীগের বেইমানেরাই,1
আর কতো এই বঙ্গ বল্টুর নাম বিক্রি করে খাইবি রে হাসিনা?,1
মাফিয়া গিরি করে ক্ষমতায় এসেছে!,1
আওয়ামীলীগ ষড়যন্ত্র করতে যাবে কেনো ? আওয়ামীলীগতো সরাসরি ডাকাতিই করে ।,1
আওয়ামী লীগের নেতাকর্মীরা দেউলিয়া হয়ে গেছে আবারো বিনা ভোটে ক্ষমতায় আসার জন্য।,1
"নেশাখোরে কি কয়, বন্দুক দেখলো কার কাছে!",1
মিথ্যা বলা আওয়ামিলীগের জন্মগত অধিকার,1
আর আপনারা বন্দুকের নল দেখিয়ে ক্ষমতা ধরে আছেন ,1
কুত্তা লীগের অপর নাম আওয়ামীলীগ,1
পতাকা বাংলাদেশেরটাই থাকবে... শুধু কিছু লোকের পিঠের চামড়া থাকবেনা... লবন আর মরিচ লাগানো হবে,1
আওয়ামী দালাল,1
শহীদ প্রেসিডেন্ট জিয়াউর রহমান স্বাধীনতার ঘোষণা করেন।,0
দালালি কইরা মন্ত্রী হইছো আর কতো ।,1
নতুন পাগলের আমদানি,1
বাংলাদেশের রাজনৈতিক নেতাদের চরিত্র উন্নত হওয়া দরকার।,0
ভারতীয় রাজাকার তাড়াতাড়ি বাংলা ছাড়।,1
তোরা ভারতীয় পতাকা উড়াছ। ভারতের দালালী করোছ,1
এসব ভুয়া কথা জনগণ আর বিশ্বাস করে না,0
তোদের মতো জারজ সন্তানরা আছে বলে বাংলাদেশের এই পরিনতি,1
দেশের উন্নতি দরকার,0
সাধারণ মানুষ বাঁচতে চায়,0
তাকে জামিন কেন দেওয়া হয়েছিল জাতি জানতে চায়।,0
ভোটচোর সরকারের হাতে দেশ নিরাপদ নয়।,1
নিরপেক্ষ সরকারের অধীনে নির্বাচন চায়,0
জনগনের হারিয়ে যাওয়া ভোটারধিকার ফিরিয়ে দিতে কাজ করছে,0
একটি সুষ্ঠু অবাধ নির্বাচন চায় সেই নির্বাচনে জনগন যাকে ভোট দিয়ে জয়যুক্ত করবে সেই দল রাস্ট্র পরিচালনা করবে,0
"দেশের মালিক জনগণ, জনগণ সিদ্ধান্ত নিবে।",0
বিএনপি একটি সন্ত্রাসী দল যা আন্তর্জাতিকভাবে স্বীকৃত।,1
জামাত বিএনপি সব সময় দেশে অরাজকতা সৃষ্টি করে।,1
নৈরাজ্য সৃষ্টি করে ক্ষমতায় বসার স্বপ্ন দেখা দলটাই বিএনপি।,1
সন্ত্রাসী কর্মকান্ডে বিএনপি বিশ্বের সব গুলো সন্ত্রাসী সংগঠনকে হার মানাবে।,1
বয়কট করুন বিএনপি নামের এই সন্ত্রাসী দল কে।,1
দেশটাকে তো খেয়ে শেষ করে দিছে সরকার,1
দেশ কার হাতে থাকবে এটা নির্ধারন করবে দেশের জনগণ।,0
দেশ কি আপনাদের বাপের ? রায় দেবে জনগন ।,1
সে অধিকার তো জনগণের কাছে থাকা উচিত,0
নিত্যপ্রয়োজনীয় জিনিসপত্রের দাম তিন গুন চার গুণ বাড়িয়েও বেহায়ারা জোর গলায় কথা বলে,1
জনগনের দেশ তাই জনগন কার হাতে দেশ তুলে দিবে সেটা জনগনের এখতিয়ার।,0
জনগনের সিদ্ধান্ত জনগন নিবে!,0
"দেশের মালিক জনগণ, জনগণ সিদ্ধান্ত নিবে।",0
"দেশের মালিক জনগণ জনগণই রায় দিবে ,,,",0
"কাহার হাতে দেশ যাবে ,সেটি ঠিক করবে জনগন",0
হাসান তুদের মাথা নষ্ট হয়ে গেছে,1
তেদের মতো আবালদের হাতে আার দেশ থাকতে পারেনা।,1
তোদের অপরাধের পাল্লা অনেক ভারী হয়ে গেছে তাই তোরা ভয় পাচ্ছিস।,1
এই বলদ আজ কাল একটু বেশি কথা বলে।,1
ভোট চোর রিজার্ভের বিলিয়ন ডলার ও গিলে খেলো।,1
এরপরেও কি আপনারা মনে করেন নির্বাচন সুষ্ঠু হবে!!!,0
"বিএনপি এতটাই পাশবিক যে কিছু হলেই শুরু করে ভাংচুর, আগুন দেয়া।",1
ছাগল চোরা নেতা,1
সে খানে কোন ধরনের মারামারি হয় নাই মিথ্যা কথা,0
আল্লাহ তাকে ধৈর্য্য ধরার তৌফিক দান করো।,0
আগে তোদের কুত্তা লীগ সামলা,1
এই পাগলা আবার কে,1
দেখতে ভালো লাগছে,0
এরাই হচ্ছে কুত্তা লীগ,1
পুরো শহর দখল নিতে হবে,1
একদম সত্যি কথা,0
উনি তো আর ভোট চুরি করেন নাই!! কিন্তু ভোট ডাকাতি করেছেন!!!,1
সরকারের মাথা নষ্ট হয়ে গেছে,1
সত্য কথা মুখ দিয়ে বের হয়ে যায়,0
পত্রিকায় দেখলাম এক লোক জীবনে কখনো জুতা পায়ে দেয় নাই।,0
"সত্যি কথা বলেছে, আর উনি ক্ষমতায় থাকতে পারবে না",0
এরশাদ ভোট চুরি করে প্রেসিডেন্ট ছিল বলে আজকের দিনে তার পতন হয়েছিল।,1
"সত্য কথা মুখ ফসকে বেরিয়ে যাবে, এটাই বাস্তবতা।",0
সত্য কথা বলার জন্য আপনাকে অভিনন্দন,0
"কথা সত্য, ভোট চুরি করেছে প্রশাসনের পেটুয়া বাহিনী",1
চুরি নাতো ডাকাতি করে আছেন,1
"আপনি অনবরত মিথ্যা বলতে পারেন, সেটা আপনার বিশেষ গুন।",1
আপনার প্রতি আস্থা ও ভালোবাসা অনেকগুন বেড়ে গেলো ! দীর্ঘজীবি হোন !,0
সত্যিই কথা বলার জন্য ধন্যবাদ,0
আল্লাহ তাকে বুঝার তৌফিক দান করুক,0
ভোট ডাকাতি করে কি তাহলে ক্ষমতায় থাকা যাবে??,1
ওনাকে পৃথিবীর শ্রেষ্ঠ মিথ্যাবাদীর নোবেল দেওয়া দরকার,1
আপা এতদিনে সত্য কথা বললেন।,0
ভোট চুরির কারণে এবার আওয়ামী লীগকে জনগণ উৎখাত করবে,1
নিস্পাপ শিশুর মতো কথা ভোট চোর মাফিয়া সরকার।,1
জনগন ভোট চুরির বিরুদ্ধে সৌচার হইছে।,0
আল্লাহ যেন আপনার কথাটা সত্যি করে।,0
কি বলবো ভাষা খুঁজে পাচ্ছিনা,0
শেষে এসে বুঝতে পারছো তাহলে,0
"আপনি ঠিক বলেছেন ম্যাডাম আপনারা,ডাকাতি করেছেন",1
হাসিনার গালে গালে জুতামারো তালে তালে,1
সত্য কখনো চাপা পড়ে না,0
"তারপরও বাংলার জনগন বুঝে না, আফসোস",0
এখন ভোট চুরি করে ক্ষমতায় ঠিকে থাকা যায়। যেমন - আপনি!,1
ভোট ডাকাতি করে ক্ষমতায় টিকে থাকা যায়।,1
"এই সরকার ভোট ডাকাত, নোট ডাকাত।",1
হে আল্লাহ উনি কি বলতাছে।চুরের মার বড় গলা,1
"মাথা নষ্ট সরকার, সব নষ্ট করে দিবে",1
জাতি ভোট চোরদের আর চায় না।,1
"কোন বিবেগবান মানুষ মিথ্যা বলতে কিভাবে পারে,জানা নাই!",0
সহমত পোষণ করলাম,0
এবার তাহলে আপনাকে বিদায় নিতে হবে,0
আপনি যে কেমনে থেকে গেলেন এতোদিন,0
"কথা সত্য,ইতিহাস ও তাই বলে।",0
এই ভোট চোরদের বয়কট করা এখন সময়ের দাবি।,1
নির্লজ্জ মিথ্যাচার একমাত্র হাসিনার দাঁড়ায় সম্ভব,1
তাহলে আপনার সময় আর বেশিদিন নাই আপনি শিকার করলেন,0
"ঠিক বলেছেন, আপনি ও পারবেন না",0
এতো দিন পরে বুঝলেন তাহলে।,0
এই প্রথম উনার কথায় একমত হলাম।,0
বন্দুক না থাকলে ক্ষমতা আরো ৭-৮ বছর আগেই শেষ হয়ে যেতো,1
আপনি কেমনে আছেন।,0
তাহলে নিরপেক্ষ নির্বাচন দিতে এত ভয় কেন?,0
আপনি চাইলেই জনগনের কষ্ট দুর করতে পারবেন??? কিন্তু তা করেন না,0
এতো দিন পড়ে সেটা বুঝতে পাড়ছেন তাইলে,0
আমি কি হাসবো নাকি কাঁদবো বুঝতে পারছি না,0
বিশ্বের ইতিহাসে এই মহিলা আর তার দলের মিথ্যাচারিতা সোনার হরফে লেখা উচিত।,1
মুখ দিয়ে সত্য কথা বের হয়েছে,0
চোর সরকার আর নেই দরকার,1
ভোট চুরি করে ক্ষমতায় টিকে আছে,1
"ভোট চুরি না করলে আজকে আওয়ামী নাম টাও থাকতো না,",1
"সব বিচার আল্লাহ করবে, মানুষ সব করতে পারে না।",0
"উনি ক্ষমতায় থাকতে পারবে না, এই জন্য সবাইকে জানিয়ে দিলো।",0
"তিনি মনে হয় ধরেই নিছেন, তার কাজের জন্য,ক্ষমতার অপব্যবহার, গুম,খুন,জুলুম নির্যাতন,দেশের টাকা লুটপাটের জন্য সে জাহান্নামের আগুনে জ্বলবে।",1
ভোট চুরি করে স্বৈরাচার সরকার বেশী দিন থাকতে পারে না। আপনিও আর বেশি দিন থাকতে পারবেন না,1
"এই সরকার কে যারা নির্লজ্জের মত সাপোর্ট দিয়েছে বছরের পর বছর, তাদের আরো এমন রাস্তায় রাস্তায় কাঁদতে হবে",1
ভোট ছাড়া সংসদে বসে আছে এখন আওয়ামী লীগের নির্লজ্জ এমপিরা তাদের চেয়ে ভালো আছে হিরো আলম,1
 জনগন সব হিজরা হয়ে গেছে,1
তুমি হাসিনা জঙ্গিবাদ উগ্রবাদ রাজাকার ,1
"দল বললে সংখ্যায় একটু বেশি বেশি লাগে।এই যেমন ধরুন,জারজ দলপাপিয়া দল,ইয়াবা দল",1
ভাই কুত্তালিগের দালালি ছারেন সত্তকে প্রকাশ করেন জাতির জনক হল জিয়াউর রহমান,1
সরকারের চেয়ে হাজার গুণ  জানোয়ার হলো এই নাম ধারী আলেমসমাজ যারা ইসলামকে ধ্বংস করছে।,1
ডঃ কামাল হোসেন ভারতের দালাল হয়ে বিএনপিকে ধ্বংস করতে এসেছে ।,1
নুরু পাগলা ২০১৭ সালে ছাত্রলীগের নেতার সাথে সেলফি তুলার জন্য দোঁড় দিত আর ২০২০ সালে এসে বাংলাদেশের টপ নেতা এটা হাস্যকর।,1
আপনি নিজেই ভোট চোর। কাকে উপদেশ দিচ্ছেন।,1
"পানি ছাড়া যেমন জীবন চলতে পারে না তেমনি গণতন্ত্র ছাড়া একটি রাষ্ট্র চলতে পারে না,",0
বাসে জ্বালাপোড়াও কে করেছে জনগণ ভালো করে জানে।,0
আওয়ামী লীগ মানে বিনোদন,1
সঠিক কথা বলার জন্য অনেক অনেক অভিনন্দন জানাই,0
চেতনা তদের পিচেদিয়ে ডুকাবো বেইমানের দল,1
কি বলবো এসব আর ভালো লাগেনা একে অপরকে দোষারোপ কবে বন্ধ হবে?চাপাবাজি কবে বন্ধ হবে?,0
জনগণ খুব ভালো করে জানে,0
"ছাত্র লীগ বলতে বর্তমানে  কিছুই নেই, সব হায়নার লীগ।",1
হাছিনার শিক্ষা বেশি তাই হাজার হাজার মানুষ খুন করেছেন এমন শিক্ষার দরকার নাই,1
সংসদ সদস্যদের  ৮০% মূর্খ আর সন্ত্রাসী,1
ভোট চুরি করে ক্ষমতায় থেকে নিলজ্জের মত মিডিয়ার সামনে আসছে লজ্জা লাগেনা,1
গরীবদের বাচতে দাও।,0
আওয়ামী লীগ এমন পথে ক্ষমতায় এসেছে ঐরকম পথ জীবনে কেউ কল্পনাও করে নাই,1
ভিন্নপথে না রাতের ভোটে আসছেন,1
মিথ্যা কথা বলার সীমানা অতিক্রম করছে,0
"আওয়ামীলীগ ২০১৪ সালে জনগণের ভোট চুরি করে রাতে, আর ২০১৮ সালে জনগণের ভোট দিনে দুপুরে ডাকাতি করে ক্ষমতায় বসে আছে।",1
চোর চোর ভোট চোর শেখ হাসিনা ভোট চোর,1
হাসিনা একটা বাটপার,1
এতো মিথ্যা কথা কি ভাবে বলে বুজিনা,0
আওয়ামীলীগের সবচেয়ে বড় পরাজয় হলো মানুষ আর এদের কে বিশ্বাস করে না।,0
"ভোট চুরির জন্য যদি কাউকে ডক্টরেট ডিগ্রি দেয়া যেত, তাহলে সেটা বিএনপি পেত।",1
আওয়ামী লীগ যখনই ক্ষমতাই এসেছে মানুষের ভাগ্য পরিবর্তনে কাজ করেছে।,0
আওয়ামীলীগ এবার পাহারাদারের চাকরী করুক,1
"মিথ্যা যদি কোনো শিল্প হয়, শেখ হাসিনা তার শিল্পী",1
গুজব ছড়ানো ছাড়া বিএনপির আর কোন কাজ নাই।,1
জয় বাংলা জয় বঙ্গবন্ধু,0
আম্লীগ নেতা কর্মীরা পালিয়ে যাচ্ছে,1
জিয়াউর রহমান স্বাধীনতার চেতনায় বিশ্বাস করে না।,1
১৫ আগস্টের মাস্টার মাইন্ড জিয়াউর রহমান আর ২১ আগস্ট গ্রেনেড হামলার মাস্টার মাইন্ড জিয়াপুত্র তারেক রহমান।,1
এগুলা বিএনপির ছাগল গুলাই ছড়ায়। একবার তো ছড়ালো বেয়াদব সাইদিকে নাকি চাদে দেখা গেছে,1
এসব গুজব কেবল অশিক্ষিত কাজের বুয়ার ছেলেরাই ছড়ায় এবং বিশ্বাস করে।,1
গুজবে কেউ কান দেবেন না।।,0
প্রধানমন্ত্রী সাহেবা আপনি সর্বকালের সর্বশ্রেষ্ঠ মিথ্যাবাদী ,1
মিথ্যা বলতে বলতে অভ্যস্ত হওয়ায় সত্য আর মুখে আসে না ।,1
আল্লাহ তাআলা আপনাকে ভালো রাখুন ।,0
মূলত এটা বলার জন্যই তিনি চট্টগ্রামে গেছেন,0
মহান এক সত্যবাদী নারী যেহেতু বলেছে,0
 আমার মনে হয় আপনাকে ও মেরে ফেলতে পারে আওয়ামী লীগ আপনি সাবধানে থাকবেন,0
"এটাই হলো বাংলাদেশ, পোশা কুকুর রাজাকার থাকবে ভাইরে",1
"হেফাজত আন্দোলন করলে খুন করা হয়, আর নাস্তিকরা আন্দোলন করলে পুলিশ দিয়ে পাহারা দেয়া হয়",1
যত তাড়াতাড়ি পদত্যাগ করবেন ততই দেশের জন্য ভালো হবে,1
রাজাকার দের এক ফোটা জল দেওয়া যাবে না।,1
জামাত মানে রাজাকার,1
"বি এন পি নিয়ে চিন্তা করার অনেক লোক আছে, আপনি আপনার দল নিয়ে চিন্তা করুন",1
"আমাদের সাধারন মানুষের দুর্ভাগ্য """""" বিরোধী দল তত্বাবধায়ক সরকার ছাড়া নির্বাচন করতে চায় না""""।",0
"বে সত্য কোনটা, তা খুঁজে পাচ্ছি না।",0
সব পাবনার রোগী,1
নতুন বাণী এরপর যদি আরেকজন আসেন আবার অন্য বাণী শুনবো,0
শেখ হাসিনাকে জুতা মারবে জনগন ।,1
তাইতো ১৯৮৬ সালে আপনি হয়েছেন জাতীয় বৈইমান আর খালেদা জিয়া উপাধি পেয়েছে আপোষহীন দেশনেত্রী,1
"ছাএলীগ আজকের খুনি নয় ,অনেক আগের খুনি ।",1
আল্লাহ না করুক বি এন পি যেন আপনাকে দেখে সৈরাচারি না শিখে,1
"গ্রহনযোগ্য এমন মুখরোচক কথা বলা সহজ কিন্তু বাস্তবতা ভিন্ন।,",0
মিথ্যা নিয়ে পারদর্শিতার ওপর ওনাকে নোবেল দেওয়ার জুড় দাবি জানাচ্ছি,0
দীর্ঘদিন জোর করে ক্ষমতায় থাকার ফসল এই সব সন্ত্রাসী কর্মকান্ড।,1
"পুরো বাংলাদেশে আওয়ামীলীগ সন্ত্রাসীরা,, শতশত একর জমি,, জোর করে দখল করে নিয়েছে",1
যুবলীগ ছাত্রলীগ আওয়ামীলীগ সরকারের রক্ষা কবজ সন্ত্রাসী কর্ম কাণ্ডের মাধ্যমে,1
"ছাএলীগ আর গাধার মধ্যে এখন আর কোন ভেদাবেদ নেই,",1
আমিও রাতে নিবাচন হতে দেখেছি.,1
কুত্তালীগের কাছে আমার প্রশ্ন পুলিশ মরলে জনগন এত খুশি হয় কেন,1
"আমি একজন বাংলাদেশের ভোটার আজ পর্যন্ত কিভাবে ভোটার দেয় সেই জিনিসটাই জানতে পারলাম না,",0
ছাত্র লীগ মানি কুত্তা লীগ হাতুরি লিগ হেলমেট লিগ,1
দুর্নামের অতল গহ্বরে তলিয়ে  যাচ্ছে  আওয়ামিলীগ  ছাএলীগ যুবলীগ,0
"দেশকে লুটপাট করার জন্যই যুবলীগের জন্ম,",1
এই ইসির অধীনে কীভাবে একটি সুষ্ঠু নির্বাচন হবে?,0
বি ন পি র পাগলদের এবার বুদ্ধি হবে,1
বি এন পি দেখে ভয় পেয়ে গেছে কুত্তালীগ,1
বিএনপি শেষ ছাত্রদল শেষ তাদের বাংলাদেশে খানা নাই,1
ভোটাধিকারের জন্য আপনারও উচিত এখন বিএনপির সাথে যৌথ আন্দোলন করা,0
আজকে জনসভা করে ঢাকা শহর অচল করে দিয়েছেন। সাধারণ জনগণের দূর্দশা আপনি এখনও বুঝবেন না।,1
মিথ্যা নিয়ে পারদর্শিতার ওপর ওনাকে নোবেল দেওয়ার জুড় দাবি জানাচ্ছি,1
মৃনাল কান্তির সাথে রাত কাটিয়ে বিএনপি রাজনীতি শিখছে।,1
 তাহলে বিএনপি দুর্নীতি চুরিও শিখছে আপনাদের কাছ থেকে। ,1
জালাও পোড়ানোর শিখারনুর জন্য হাসিনাকে মামলা আসামি করা হোক,1
আমার ভোটের অধিকার ফেরত চাই,0
কেউ করে রাজনীতি আর কেউ করে অপ রাজনীতি।,0
এবার কি ভোট দিনে না রাতে হবে এই কথা জানতে চাওয়া আমার অবুঝ মন!?,1
দেশের প্রাচীন রাজনৈতিক সংগঠন *বাংলাদেশ আওয়ামী লীগ*,0
আমিও স্বৈরাচার চিনতে পেরেছি আপনাকে দেখে,1
আমরা স্বৈরাচার চিনেছি স্বৈরাচারের জনক জিয়াউর রহমানকে দেখে,1
আপনি বালের দেশে বাস করেন,1
এসব আলতুফালতু কথা ছাড়া তো আর কিছু বলার যোগ্যতা নাই।,1
দূর মিয়া আপনি থার্ড পারসোন,1
গণতন্ত্র বিকাশে সরকারের সঙ্গে বিরোধী দলের ভূমিকা জরুরী,0
সাধারণ মানুষের আতংকের নাম বিএনপি।,1
"যাক মাননীয় আপা, তাওতো ওরা শিখছে এডাতো কইলেন অনেক কৃতজ্ঞতা প্রকাশ করছি।",1
এই মহিলাকে প্রতিবন্ধী কমিটির দ্বায়িত্ব দেওয়া হোক।,1
আপনাদের জন্যই আজ দেশের এ অবস্থা।,1
দেশের এই অবস্থার জন্য এই গোল আলু মার্কা মহিলা টা ভিশন ভাবে দায়ী।,1
নানী সামনে দুর্দিন আসতেছে।,1
এই গজব গুলা মরে না ক্যা। এগুলা মরলে তো দেশের মানুষ শান্তি পাইতো,1
জয় বাংলা জয় এরশাদ।,0
ঘসেটি বেগম,1
এই মহিলাকে দেখলে আমার জম্বিদের কথা মনে হয়।,1
পুতুল কোথায় থেকে আবিষ্কার হলো,1
রানু মন্ডল পাওয়া গেছে আরেকটা,1
ডাইনি!!,1
আপনি বেঁচে আছেন,1
নানু কবরে কেমনে যাবেন ও চিন্তা করেন বসয় ত কম হনাই,1
এনি এখন কইত্তে আইলো,0
এই মহিলা আসলে কে।,1
মর গা,1
সে এখনো বেঁচে আছে ,1
কবে যে আজরাইল ডাকবে এইডারে,1
ঐক্য বিনষ্ট হল কখন।,0
আজরাইল জি দেখেনা ওনাকে??,1
নানীকে পরের বছর আমরা পাবো কিনা,1
মাথা ঠিক নাই ,1
দেখেন মরার আগে কিছু টাকা ইনকাম করে কবরে যেতে পারেন কিনা?,1
আওয়ামীলীগের দালালি সুসংহত রাখার আহ্বান রওশন দালালের,1
এই মরা বেডি কিল্লাই লই আছে এরাই দেশটারে পঙ্গু বানাইছে।,1
এই মহিলা আমাদের এরশাদকে খাইছে,1
নষ্টা,1
এই শালী মরেনা কেন,1
আপনি কেডা! ঘষেটি বেগম!,1
দালাল,1
মরতায় কোন দিন !!,1
এই পাগল এখও মরে নাই,1
বাংলা ছবির রীনা খান।সংসার ভেঙ্গে করবে খান খান,1
এই মাতারী কে ঝা/ড়ু দিয়ে কয়েক টা বাড়ি দেওয়া উচিত।,1
দেশপ্রেমিক জনগণ কে ঐক্যবদ্ধ হতে হবে যাতে দেশ বিরোধীরা দেশের ক্ষতি করতে না পারে।,0
ওনার কোনো অনুভূতি আছে কিনা সন্দেহ আছে,1
সাপ মরার পরই সোজা হয় ,1
জাপা =জাউরা পাটি,1
জি এম কাদের জিন্দাবাদ,0
এর মুখ দেখাও পাপ,1
আওয়ামী দালাল গসেটিবেগম,1
নানী আপনি বেচে আছেন তাতেই খুশি।,0
বাসা রাস্তার পাশে হওয়ায় সারাদিন টোকাইদের চিল্লাচিল্লিতে দুপুরের ঘুমটাও যেতে পারলাম না,1
গত ১৪ বছরের স্বৈরাচারী শাসন বাংলাদেশের ইতিহাসের এক কালো অধ্যায়।,1
সৈরাচার নিপাত যাক গনতন্ত্র মুক্তি পাক,1
"আওয়ামী লীগের ১৫ বছরের গুম খুন মামলা হামলা লুটপাট করা কাহিনী কে বলবে, বললে কয়েক মাসে ও তাদের ইতিহাস শেষ হবে না ৷",1
"১৪ বছর যারা ভোট চুরি করে ক্ষমতায় আছে, তারা কে??",1
অচিরেই আওয়ামী লীগের পতন হবে। খালেদা জিয়া মুক্তি পাবে। তারেক রহমান দেশে আসবে। মানুষের বাকস্বাধীনতা ফিরে পাবে ইনশাআল্লাহ।,0
বাংলাদেশের প্রেক্ষাপটে ছাত্রলীগের চেয়ে বড় সন্ত্রাসী দল ২য়টি নেই!!,1
সব খন্ড চিত্র একপাশে আর লগী বইটার 16মিনিটের লাশের উপর নৃত্য একপাশে রাখলে কোনটা বড় হবে?,1
পুলিশ ছাড়া মাঠে আসো,1
এই ছাত্রলীগ যেদিন বাংলাদেশে নিষিদ্ধ ঘোষণা করা হবে কেবল সেদিনই দেশে শান্তি আসবে,1
নতুন কমিটিতে স্থান পেতে এটা কাজে লাগবে,1
কোন লাভ হবে বলে মনে হয় না,0
